Course Number: 402, Professor: DEWITTE P, GPA: 3.944, A's: 51, B's: 3, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 402, Professor: DEWITTE P, GPA: 3.730, A's: 55, B's: 5, C's: 0, D's: 0, E's: 3, F's: 0, Q's: 0
Course Number: 402, Professor: DEWITTE P, GPA: 3.905, A's: 68, B's: 5, C's: 1, D's: 0, E's: 0, F's: 1, Q's: 0
Course Number: 402, Professor: DEWITTE P, GPA: 3.977, A's: 86, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 402, Professor: DEWITTE P, GPA: 3.655, A's: 51, B's: 2, C's: 1, D's: 0, E's: 4, F's: 0, Q's: 0
Course Number: 402, Professor: DEWITTE P, GPA: 3.589, A's: 41, B's: 10, C's: 3, D's: 1, E's: 1, F's: 0, Q's: 0
Course Number: 402, Professor: DEWITTE P, GPA: 3.278, A's: 18, B's: 14, C's: 2, D's: 0, E's: 2, F's: 0, Q's: 0
Course Number: 410, Professor: TSAI C, GPA: 3.356, A's: 20, B's: 22, C's: 2, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.867, A's: 3, B's: 8, C's: 3, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 410, Professor: TSAI C, GPA: 2.793, A's: 23, B's: 16, C's: 10, D's: 2, E's: 7, F's: 0, Q's: 0
Course Number: 410, Professor: HAMILTON J, GPA: 3.776, A's: 77, B's: 2, C's: 2, D's: 3, E's: 1, F's: 0, Q's: 0
Course Number: 410, Professor: HAMILTON J, GPA: 3.630, A's: 23, B's: 1, C's: 1, D's: 1, E's: 1, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 3.194, A's: 20, B's: 8, C's: 5, D's: 1, E's: 2, F's: 0, Q's: 0
Course Number: 410, Professor: DA SILVA D, GPA: 3.444, A's: 52, B's: 16, C's: 11, D's: 1, E's: 1, F's: 2, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.962, A's: 23, B's: 13, C's: 9, D's: 5, E's: 2, F's: 0, Q's: 0
Course Number: 410, Professor: DA SILVA D, GPA: 3.704, A's: 66, B's: 9, C's: 4, D's: 1, E's: 1, F's: 0, Q's: 0
Course Number: 410, Professor: DA SILVA D (H), GPA: 3.867, A's: 14, B's: 0, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 410, Professor: YUM K, GPA: 3.261, A's: 24, B's: 16, C's: 3, D's: 0, E's: 3, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.786, A's: 12, B's: 8, C's: 3, D's: 0, E's: 5, F's: 0, Q's: 0
Course Number: 410, Professor: DA SILVA D, GPA: 3.531, A's: 57, B's: 15, C's: 6, D's: 1, E's: 2, F's: 2, Q's: 0
Course Number: 410, Professor: DA SILVA D (H), GPA: 4.000, A's: 8, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.200, A's: 4, B's: 3, C's: 3, D's: 2, E's: 3, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 3.194, A's: 17, B's: 11, C's: 6, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.615, A's: 6, B's: 3, C's: 0, D's: 1, E's: 3, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 3.160, A's: 12, B's: 7, C's: 5, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 410, Professor: STOLERU R, GPA: 3.039, A's: 27, B's: 10, C's: 7, D's: 3, E's: 4, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.000, A's: 1, B's: 3, C's: 4, D's: 1, E's: 2, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.754, A's: 17, B's: 20, C's: 12, D's: 5, E's: 3, F's: 0, Q's: 0
Course Number: 410, Professor: DA SILVA D, GPA: 2.458, A's: 14, B's: 13, C's: 9, D's: 5, E's: 7, F's: 0, Q's: 0
Course Number: 410, Professor: DA SILVA D, GPA: 2.919, A's: 29, B's: 15, C's: 9, D's: 2, E's: 7, F's: 2, Q's: 0
Course Number: 410, Professor: LEYK T, GPA: 3.152, A's: 16, B's: 22, C's: 7, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.545, A's: 4, B's: 8, C's: 7, D's: 2, E's: 1, F's: 0, Q's: 0
Course Number: 410, Professor: BETTATI R, GPA: 2.794, A's: 12, B's: 13, C's: 2, D's: 4, E's: 3, F's: 0, Q's: 0
Course Number: 412, Professor: LIGHTFOOT R, GPA: 3.867, A's: 80, B's: 8, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 412, Professor: LIGHTFOOT R (H), GPA: 4.000, A's: 10, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 412, Professor: LIGHTFOOT R, GPA: 3.722, A's: 61, B's: 14, C's: 4, D's: 0, E's: 0, F's: 1, Q's: 0
Course Number: 412, Professor: LIGHTFOOT R (H), GPA: 4.000, A's: 15, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: IOERGER T, GPA: 3.382, A's: 35, B's: 27, C's: 4, D's: 1, E's: 1, F's: 0, Q's: 0
Course Number: 420, Professor: CHOE Y, GPA: 3.311, A's: 44, B's: 30, C's: 16, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: SHELL D, GPA: 3.129, A's: 29, B's: 20, C's: 8, D's: 2, E's: 3, F's: 0, Q's: 0
Course Number: 420, Professor: IOERGER T, GPA: 3.500, A's: 45, B's: 22, C's: 6, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: CHOE Y, GPA: 3.470, A's: 47, B's: 32, C's: 2, D's: 0, E's: 2, F's: 0, Q's: 0
Course Number: 420, Professor: SHELL D, GPA: 3.167, A's: 29, B's: 17, C's: 11, D's: 1, E's: 2, F's: 0, Q's: 0
Course Number: 420, Professor: IOERGER T, GPA: 3.393, A's: 46, B's: 26, C's: 11, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: SHELL D, GPA: 3.111, A's: 39, B's: 27, C's: 21, D's: 1, E's: 2, F's: 0, Q's: 0
Course Number: 420, Professor: CHOE Y, GPA: 2.938, A's: 16, B's: 31, C's: 14, D's: 3, E's: 0, F's: 5, Q's: 0
Course Number: 420, Professor: SHELL D, GPA: 3.000, A's: 25, B's: 37, C's: 17, D's: 4, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 2.800, A's: 11, B's: 6, C's: 2, D's: 4, E's: 2, F's: 0, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 2.846, A's: 19, B's: 25, C's: 14, D's: 6, E's: 1, F's: 1, Q's: 0
Course Number: 420, Professor: IOERGER T, GPA: 2.619, A's: 24, B's: 23, C's: 23, D's: 9, E's: 5, F's: 0, Q's: 0
Course Number: 420, Professor: DAUGHERITY W (H), GPA: 3.294, A's: 11, B's: 2, C's: 3, D's: 0, E's: 1, F's: 1, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 2.890, A's: 28, B's: 30, C's: 17, D's: 1, E's: 6, F's: 1, Q's: 1
Course Number: 420, Professor: DAUGHERITY W, GPA: 2.000, A's: 5, B's: 14, C's: 16, D's: 12, E's: 6, F's: 1, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 3.148, A's: 23, B's: 22, C's: 5, D's: 2, E's: 2, F's: 0, Q's: 0
Course Number: 420, Professor: IOERGER T, GPA: 3.218, A's: 27, B's: 19, C's: 3, D's: 6, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 2.745, A's: 16, B's: 16, C's: 8, D's: 1, E's: 6, F's: 0, Q's: 0
Course Number: 420, Professor: SHELL D, GPA: 2.980, A's: 16, B's: 23, C's: 6, D's: 4, E's: 1, F's: 0, Q's: 0
Course Number: 420, Professor: WARD R, GPA: 3.103, A's: 23, B's: 21, C's: 11, D's: 3, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: SHELL D (H), GPA: 3.769, A's: 10, B's: 3, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: IOERGER T, GPA: 3.245, A's: 20, B's: 28, C's: 3, D's: 2, E's: 0, F's: 1, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 3.000, A's: 7, B's: 6, C's: 4, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 420, Professor: WARD R, GPA: 2.690, A's: 7, B's: 10, C's: 10, D's: 0, E's: 2, F's: 0, Q's: 0
Course Number: 420, Professor: SHELL D (H), GPA: 3.867, A's: 13, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: SHELL D, GPA: 2.957, A's: 18, B's: 12, C's: 14, D's: 3, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 2.667, A's: 6, B's: 3, C's: 3, D's: 1, E's: 2, F's: 4, Q's: 0
Course Number: 420, Professor: IOERGER T, GPA: 3.103, A's: 21, B's: 26, C's: 9, D's: 0, E's: 2, F's: 1, Q's: 0
Course Number: 420, Professor: SHELL D, GPA: 3.000, A's: 21, B's: 15, C's: 7, D's: 1, E's: 4, F's: 0, Q's: 0
Course Number: 420, Professor: DAUGHERITY W, GPA: 3.316, A's: 12, B's: 3, C's: 2, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 420, Professor: MURPHY R, GPA: 3.206, A's: 15, B's: 14, C's: 3, D's: 1, E's: 1, F's: 0, Q's: 0
Course Number: 421, Professor: MORTAZAVI B, GPA: 3.494, A's: 46, B's: 25, C's: 5, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 421, Professor: MORTAZAVI B (H), GPA: 3.867, A's: 13, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T, GPA: 3.895, A's: 80, B's: 3, C's: 3, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T (H), GPA: 4.000, A's: 13, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHOE Y, GPA: 3.513, A's: 50, B's: 23, C's: 6, D's: 0, E's: 1, F's: 1, Q's: 0
Course Number: 421, Professor: CHOE Y (H), GPA: 3.667, A's: 4, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: MORTAZAVI B, GPA: 3.099, A's: 32, B's: 21, C's: 12, D's: 5, E's: 1, F's: 1, Q's: 0
Course Number: 421, Professor: SHARON G, GPA: 2.961, A's: 29, B's: 26, C's: 11, D's: 9, E's: 1, F's: 0, Q's: 0
Course Number: 421, Professor: MORTAZAVI B (H), GPA: 3.857, A's: 12, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHOE Y, GPA: 3.281, A's: 44, B's: 30, C's: 13, D's: 0, E's: 2, F's: 0, Q's: 0
Course Number: 421, Professor: MORTAZAVI B, GPA: 3.462, A's: 52, B's: 19, C's: 5, D's: 2, E's: 2, F's: 0, Q's: 0
Course Number: 421, Professor: MORTAZAVI B (H), GPA: 3.800, A's: 4, B's: 1, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T, GPA: 3.933, A's: 28, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: WANG Z, GPA: 3.805, A's: 33, B's: 8, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: WANG Z (H), GPA: 4.000, A's: 5, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T, GPA: 3.792, A's: 45, B's: 6, C's: 1, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T (H), GPA: 4.000, A's: 5, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 430, Professor: KEYSER J (H), GPA: 3.538, A's: 10, B's: 1, C's: 1, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 430, Professor: KEYSER J, GPA: 3.231, A's: 22, B's: 9, C's: 4, D's: 3, E's: 1, F's: 3, Q's: 0
Course Number: 430, Professor: KEYSER J (H), GPA: 3.462, A's: 8, B's: 3, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
